"Business_ID","Address","Cuisine","insertedAtTimestamp","Latitude","Longitude","Name","Number of Reviews","Open","Rating","Zip Code"
"OfhbwhWzIn6TYYpubLZNsQ","500 10th St","korean","11/10/2021 17:54:27","40.8472084713549","'-73.9845913276076","Tang Maru","217","N/A","4","07650"
"h37t9rA06Sr4EetJjKrfzw","103 Greenwich Ave","italian","11/10/2021 17:53:28","40.73778","'-74.00197","Don Angie","435","N/A","4.5","10014"
"pfmAcS-g6SiNG0KlLvrqnA","146 Essex St","american","11/10/2021 17:53:43","40.720434786101286","'-73.98686057623863","Beauty & Essex","3551","N/A","4","10002"
"k8GFfCXO2FIIJIo0ICYSRA","106 Greenwich St","chinese","11/10/2021 17:54:16","40.70854","'-74.01367","Bao Bao Cafe","216","N/A","4","10006"
"Rk6TXh7nINbzJoGtI2C5cA","172 Avenue B","indian","11/10/2021 17:54:33","40.72739","'-73.97978","Desi Galli","110","N/A","3.5","10009"
"CYne0jX60n5-lET063I1fg","34 W 32nd St","korean","11/10/2021 17:54:28","40.74769","'-73.98735","Plan B","40","N/A","4.5","10001"
"tWSjcyxwBccZkEyhry_aEQ","212 Flatbush Ave","korean","11/10/2021 17:54:28","40.6811485290527","'-73.9756774902344","Mokbar Brooklyn","145","N/A","3.5","11217"
"PbTqcNu_0PLfGJMn31SXPg","235 Paterson Ave","korean","11/10/2021 17:54:28","40.8337201","'-74.097194","Ho Ho Restaurant","110","N/A","4.5","07073"
"ub2VfE7SRLJABAClzGZp3A","30 W 24th St","mexican","11/10/2021 17:54:43","40.742807","'-73.991138","Tacombi - Flatiron","687","N/A","4","10010"
"Qgv2vyUV-DwK8YwrhU-jtw","128 W 36th St","chinese","11/10/2021 17:54:09","40.7517141867087","'-73.9883603449123","Lan Sheng Restaurant","178","N/A","4","10018"
"kIm0oeOaVfC9-2flLPVklA","462-466 2nd Ave","italian","11/10/2021 17:53:35","40.7398415","'-73.9792862","Patrizia's Pizza and Pasta","666","N/A","4","10016"
"b_x0NR7xLq_llrXOEo-nhg","213 6th Ave","mexican","11/10/2021 17:54:51","40.72753170815836","'-74.00341609999953","Mitla New York City","21","N/A","4.5","10014"
"L3PwWn54PvHm5Rd4oUg7xw","163B W 29th St","indian","11/10/2021 17:54:41","40.7477911583293","'-73.9923941393954","B&D Halal Food","86","N/A","4.5","10001"
"4FD0TAxe70nb3ngk3sXF9Q","152 2nd Ave","chinese","11/10/2021 17:54:06","40.7293403","'-73.9866071","Uluh","525","N/A","4.5","10003"
"veku2cg2qaV-7MxwhOMBmg","38 W 56th St","american","11/10/2021 17:53:40","40.7629158108786","'-73.9761248066812","Judge Roy Bean Public House","771","N/A","4.5","10019"
"__EvomQ2tE1NtkWn32WEXg","33 Cortlandt Alley","american","11/10/2021 17:53:44","40.7183878","'-74.0015522","Au Cheval","513","N/A","4.5","10013"
"z28cRtpdfiJfzIp1vkMAwQ","248 W 106th St","korean","11/10/2021 17:54:22","40.80096","'-73.96734","Koko Wings - New York","359","N/A","4","10025"
"mhrLDFTxUzW2koRAzjlt5g","736 Franklin Ave","mexican","11/10/2021 17:54:46","40.673484","'-73.957267","Chavela's","1157","N/A","4","11238"
"iXrKGRzIZK0pp31mO3nBzA","441 Myrtle Ave","indian","11/10/2021 17:54:36","40.6933894","'-73.9679912","Spice & Grill","156","N/A","4.5","11205"
"PTYUAAJbEmvIv4EsyRrcnA","427 Amsterdam Ave","japanese","11/10/2021 17:53:54","40.784043","'-73.977391","Momoya","480","N/A","4","10024"
"A-ert0jDRBfku9ogyW_mEg","150 E 50th St","indian","11/10/2021 17:54:30","40.7558937072754","'-73.9715347290039","Spice Symphony","546","N/A","4.5","10022"
"MTtqSunPEZwdCJFMHsiHzg","41 W 33rd St","japanese","11/10/2021 17:54:00","40.74873","'-73.98705","Ai Ki Ya","14","N/A","4","10001"
"f_OiLWqldSmNy1MAvtWlPQ","5-51 47th Ave","korean","11/10/2021 17:54:27","40.745714","'-73.953549","Cyclo","558","N/A","4","11101"
"zo4JHfD2nWPUiqgsgDOaHQ","455 E 114th St","italian","11/10/2021 17:53:30","40.79392","'-73.93427","Rao's","187","N/A","4.5","10029"
